cancer,gene,carriers_cases,carriers_controls,adj_OR,adj_p,fdr_p,category
Breast,BRCA2,227,58,10.94,1.808725e-36,4.883557e-34,Replicated
Breast,BRCA1,162,41,14.79,2.381433e-35,3.214934e-33,Replicated
Ovarian,BRCA1,51,41,25.58,3.486626e-32,3.137963e-30,Replicated
Ovarian,BRCA2,41,58,10.93,2.469518e-21,1.666925e-19,Replicated
Colorectal,MLH1,28,6,53.99,1.220882e-16,6.592764e-15,Suggestive
Colorectal,MSH2,20,4,37.78,4.525288e-10,1.957202e-08,Suggestive
Breast,PALB2,57,33,6.62,5.141644e-10,1.957202e-08,Replicated
Kidney,FH,9,3,77.57,5.799116e-10,1.957202e-08,Suggestive
Colorectal,APC,13,5,28.51,1.456502e-09,4.369506e-08,Suggestive
Stomach,CDH1,4,3,146.11,2.103603e-09,5.679728e-08,Suggestive
Melanoma,CDKN2A,12,7,32.43,2.517737e-09,5.941609e-08,Suggestive
Pancreatic,ATM,16,73,5.93,2.640715e-09,5.941609e-08,Novel
Pancreatic,BRCA2,15,58,6.18,8.460540e-09,1.757189e-07,Novel
Kidney,VHL,8,2,67.01,2.625137e-07,5.062765e-06,Suggestive
Pancreatic,APC,4,5,36.73,4.755065e-07,8.559116e-06,Suggestive
Prostate,BRCA2,55,58,4.04,9.195836e-07,1.551797e-05,Replicated
Colorectal,MSH6,22,34,4.43,1.386637e-06,2.202305e-05,Replicated
Stomach,MSH2,3,4,43.84,3.253872e-06,4.880807e-05,Suggestive
Stomach,MLH1,3,6,31.95,7.502797e-06,1.066187e-04,Suggestive
Stomach,BRCA2,7,58,6.3,1.357812e-05,1.833046e-04,Suggestive
Melanoma,MITF,32,68,2.78,1.935874e-05,2.488980e-04,Novel
Kidney,FLCN,5,4,13.24,3.703336e-04,4.545004e-03,Suggestive
Breast,NF1,19,9,5.33,4.454877e-04,5.035140e-03,Suggestive
Ovarian,RAD51C,5,9,9.59,4.475680e-04,5.035140e-03,Suggestive
Lung,FLCN,0,4,66.44,4.798203e-04,5.182059e-03,Suggestive
Pancreatic,PALB2,5,33,5.29,8.431677e-04,8.755972e-03,Suggestive
Pancreatic,CDKN2A,4,7,9.93,1.082941e-03,1.082941e-02,Suggestive
Pancreatic,BRCA1,7,41,4.11,1.443444e-03,1.368418e-02,Suggestive
Melanoma,FH,2,3,22.05,1.469782e-03,1.368418e-02,Suggestive
Prostate,ATM,46,73,2.66,1.539308e-03,1.385377e-02,Replicated
Pancreatic,BARD1,3,8,10.13,2.493389e-03,2.171661e-02,Suggestive
Breast,BARD1,23,8,4.45,2.826965e-03,2.385252e-02,Suggestive
Stomach,ATM,5,73,3.92,4.086708e-03,3.343670e-02,Suggestive
Kidney,MSH2,5,4,9.61,4.545738e-03,3.609851e-02,Suggestive
Ovarian,MLH1,2,6,17.24,5.306405e-03,4.093513e-02,Suggestive
